"id","code","market_cap"
604,"AGX1","353325932.00"
605,"3PL","352238766.00"
606,"KSC","351701886.00"
607,"PIXX","348975726.00"
608,"PEB","348457044.00"
609,"WXOZ","348083983.00"
610,"BDM","346929772.00"
611,"SLC","346278051.00"
612,"BCI","345858891.00"
613,"CDP","343767937.00"
614,"JRV","343078059.00"
615,"BBUS","342694852.00"
616,"APZ","340900445.00"
617,"PAI","340267321.00"
618,"BTH","340061730.00"
619,"BFG","339988585.00"
620,"MNS","339616019.00"
621,"TECH","339296491.00"
622,"IHCB","338892072.00"
623,"RAC","338753946.00"
624,"WMI","338172513.00"
625,"WCMQ","336364156.00"
626,"WR1","334707805.00"
627,"4DX","334667070.00"
628,"BCK","334088357.00"
629,"BENPG","331037805.00"
630,"DUR","330199617.00"
631,"SRV","326760372.00"
632,"IHOO","326215877.00"
633,"A1N","325361328.00"
634,"CU6","324705449.00"
635,"ISEC","320827296.00"
636,"CAJ","319056761.00"
637,"RARI","319047383.00"
638,"ALG","319004501.00"
639,"LGL","318592552.00"
640,"AMH","318124957.00"
641,"PAN","317891671.00"
642,"CGS","317765996.00"
643,"VIT","317223280.00"
644,"EX20","316567551.00"
645,"PPE","314718677.00"
646,"5EA","311102963.00"
647,"EBR","310112529.00"
648,"IPX","309603167.00"
649,"ASM","309368063.00"
650,"AYUPA","309060000.00"
651,"GDF","308458109.00"
652,"BKY","307599733.00"
653,"CVN","306031774.00"
654,"CVC","303742644.00"
655,"UOS","303243179.00"
656,"CAT","301579519.00"
657,"TRJ","301120113.00"
658,"RHI","300630582.00"
659,"IHD","300494007.00"
660,"TRA","300181708.00"
661,"GRX","299795372.00"
662,"MLX","299397802.00"
663,"GDG","299161490.00"
664,"TBN","298376095.00"
665,"WC8","296199816.00"
666,"NWF","296015287.00"
667,"BBN","295445211.00"
668,"ECF","294397408.00"
669,"BHYB","292510214.00"
670,"HZN","291307673.00"
671,"BSE","288612903.00"
672,"AMPPB","288062500.00"
673,"GBND","287929851.00"
674,"RCB","286313298.00"
675,"PLUS","285750483.00"
676,"AMA","284363608.00"
677,"4DS","283837987.00"
678,"HNDQ","281546331.00"
679,"WVOL","280167260.00"
680,"SVM","276985308.00"
681,"RHCPA","275158000.00"
682,"PIA","274821802.00"
683,"COG","274712657.00"
684,"CDM","273959257.00"
685,"QOR","272680141.00"
686,"DHHF","272174587.00"
687,"AOF","271232671.00"
688,"PYC","270930070.00"
689,"BOQPF","270348000.00"
690,"SFC","269560124.00"
691,"ASN","268703095.00"
692,"VISM","267638283.00"
693,"FDV","267554071.00"
694,"OBM","265795351.00"
695,"CYC","265726603.00"
696,"WAX","265244270.00"
697,"ABA","263309647.00"
698,"BST","263270553.00"
699,"D2O","261903285.00"
700,"NPR","261573548.00"
701,"88E","261402287.00"
702,"SYM","259750713.00"
703,"LPGD","257515697.00"
704,"DSE","256313341.00"
705,"ENN","255976577.00"
706,"BOT","255815426.00"
707,"HUM","255200643.00"
708,"HE8","255196845.00"
709,"ROBO","254338024.00"
710,"WA1","253748574.00"
711,"VEQ","253202467.00"
712,"SO4","253107474.00"
713,"CLG","252671828.00"
714,"OZBD","252390095.00"
715,"DRE","251767345.00"
716,"RDV","250778855.00"
717,"IJH","250733252.00"
718,"VHT","250542933.00"
719,"REIT","249088293.00"
720,"LPI","248493536.00"
721,"HLA","246737880.00"
722,"IHL","245986605.00"
723,"PSQ","245756185.00"
724,"IHWL","245705271.00"
725,"HFR","243836958.00"
726,"GNX","242405999.00"
727,"SXL","242039709.00"
728,"IR1","241579994.00"
729,"URF","240999818.00"
730,"QUS","239369615.00"
731,"PEN","238839501.00"
732,"ACF","237469134.00"
733,"NFNG","237195000.00"
734,"FFX","236569315.00"
735,"WQG","236184213.00"
736,"ORR","235877968.00"
737,"QPM","235756969.00"
738,"NXG","235114141.00"
739,"QSML","233891869.00"
740,"MGV","233527140.00"
741,"TWR","233382652.00"
742,"ANG","233335834.00"
743,"IXI","230597421.00"
744,"KSL","229548720.00"
745,"M7T","229208959.00"
746,"PBP","227705537.00"
747,"WXHG","227703930.00"
748,"CLV","227119104.00"
749,"LGI","226914991.00"
750,"CVL","226353457.00"
751,"IVZ","226099532.00"
752,"IAGPD","224873310.00"
753,"AGE","224802488.00"
754,"DUG","224434433.00"
755,"ATA","223948646.00"
756,"GCY","223782420.00"
757,"NTU","223416420.00"
758,"SXE","223271583.00"
759,"QVE","223107088.00"
760,"TRS","222034439.00"
761,"VDCO","221733102.00"
762,"BET","221382314.00"
763,"FEMX","220258138.00"
764,"FWD","219683069.00"
765,"WOT","218902790.00"
766,"EXP","218660991.00"
